country_code;year;value
TUV;2020;
UGA;2020;18000.0
UKR;2020;3000.0
ARE;2020;
TZA;2020;33000.0
USA;2020;
URY;2020;500.0
UZB;2020;720.0
VUT;2020;
VEN;2020;3900.0
VNM;2020;3700.0
YEM;2020;500.0
ZMB;2020;21000.0
ZWE;2020;22000.0
AFG;2019;500.0
ALB;2019;100.0
DZA;2019;500.0
AND;2019;
AGO;2019;16000.0
ATG;2019;
ARG;2019;1400.0
ARM;2019;
AUS;2019;100.0
AUT;2019;
AZE;2019;500.0
BHS;2019;100.0
BHR;2019;100.0
BGD;2019;500.0
BRB;2019;100.0
BLR;2019;200.0
BEL;2019;
BLZ;2019;200.0
BEN;2019;2200.0
BTN;2019;100.0
BOL;2019;510.0
BIH;2019;
BWA;2019;5100.0
BRA;2019;14000.0
BRN;2019;
BGR;2019;100.0
BFA;2019;2600.0
BDI;2019;1700.0
CPV;2019;100.0
KHM;2019;1400.0
CMR;2019;16000.0
CAN;2019;
CAF;2019;3600.0
TCD;2019;3500.0
CHL;2019;
CHN;2019;
COL;2019;2900.0
COM;2019;100.0
COG;2019;6800.0
COK;2019;
CRI;2019;200.0
CIV;2019;12000.0
HRV;2019;100.0
CUB;2019;500.0
CYP;2019;100.0
CZE;2019;
PRK;2019;
COD;2019;19000.0
DNK;2019;100.0
DJI;2019;500.0
DMA;2019;
DOM;2019;2700.0
ECU;2019;500.0
EGY;2019;500.0
SLV;2019;710.0
GNQ;2019;2200.0
ERI;2019;500.0
EST;2019;
SWZ;2019;2700.0
ETH;2019;14000.0
FJI;2019;100.0
FIN;2019;
FRA;2019;680.0
GAB;2019;1900.0
GMB;2019;1200.0
GEO;2019;100.0
DEU;2019;500.0
GHA;2019;16000.0
GRC;2019;100.0
GRD;2019;
GTM;2019;870.0
GIN;2019;4500.0
GNB;2019;1800.0
GUY;2019;200.0
HTI;2019;2200.0
HND;2019;740.0
HUN;2019;
ISL;2019;100.0
IND;2019;52000.0
IDN;2019;26000.0
IRN;2019;3700.0
IRQ;2019;
IRL;2019;100.0
ISR;2019;
ITA;2019;530.0
JAM;2019;710.0
JPN;2019;
JOR;2019;
KAZ;2019;200.0
KEN;2019;21000.0
KIR;2019;
KWT;2019;
KGZ;2019;500.0
LAO;2019;500.0
LVA;2019;100.0
LBN;2019;100.0
LSO;2019;5400.0
LBR;2019;1500.0
LBY;2019;200.0
LTU;2019;100.0
LUX;2019;100.0
MDG;2019;2300.0
MWI;2019;15000.0
MYS;2019;1600.0
MDV;2019;
MLI;2019;4600.0
MLT;2019;
MHL;2019;
MRT;2019;530.0
MUS;2019;
MEX;2019;5100.0
FSM;2019;
MCO;2019;
MNG;2019;100.0
MNE;2019;100.0
MAR;2019;500.0
MOZ;2019;
MMR;2019;7800.0
NAM;2019;3500.0
NRU;2019;
NPL;2019;690.0
NLD;2019;100.0
NZL;2019;100.0
NIC;2019;500.0
NER;2019;1000.0
NGA;2019;59000.0
NIU;2019;
MKD;2019;
NOR;2019;100.0
OMN;2019;100.0
PAK;2019;7900.0
PLW;2019;
PAN;2019;
PNG;2019;500.0
PRY;2019;500.0
PER;2019;1100.0
PHL;2019;850.0
POL;2019;
PRT;2019;500.0
QAT;2019;100.0
KOR;2019;
MDA;2019;500.0
ROU;2019;500.0
RUS;2019;
RWA;2019;2900.0
KNA;2019;
LCA;2019;
VCT;2019;
WSM;2019;
SMR;2019;
STP;2019;
SAU;2019;
SEN;2019;1400.0
SRB;2019;100.0
SYC;2019;
SLE;2019;3400.0
SGP;2019;100.0
SVK;2019;100.0
SVN;2019;
SLB;2019;
SOM;2019;500.0
ZAF;2019;59000.0
SSD;2019;8300.0
ESP;2019;820.0
LKA;2019;200.0
SDN;2019;1900.0
SUR;2019;
SWE;2019;
CHE;2019;200.0
SYR;2019;100.0
TJK;2019;200.0
THA;2019;12000.0
GBR;2019;
TLS;2019;100.0
TGO;2019;3200.0
TON;2019;
TTO;2019;500.0
TUN;2019;500.0
TUR;2019;
TKM;2019;
TUV;2019;
UGA;2019;20000.0
UKR;2019;3600.0
ARE;2019;
TZA;2019;35000.0
USA;2019;7900.0
URY;2019;200.0
UZB;2019;660.0
VUT;2019;
VEN;2019;4400.0
VNM;2019;3900.0
YEM;2019;500.0
ZMB;2019;23000.0
ZWE;2019;23000.0
AFG;2018;500.0
ALB;2018;100.0
DZA;2018;500.0
AND;2018;
AGO;2018;17000.0
ATG;2018;
ARG;2018;1400.0
ARM;2018;
AUS;2018;100.0
AUT;2018;
AZE;2018;500.0
BHS;2018;100.0
BHR;2018;100.0
BGD;2018;500.0
BRB;2018;100.0
BLR;2018;500.0
BEL;2018;
BLZ;2018;200.0
BEN;2018;2100.0
BTN;2018;100.0
BOL;2018;660.0
BIH;2018;
BWA;2018;5000.0
BRA;2018;14000.0
BRN;2018;
BGR;2018;100.0
BFA;2018;2900.0
BDI;2018;2000.0
CPV;2018;100.0
KHM;2018;1600.0
CMR;2018;18000.0
CAN;2018;
CAF;2018;4000.0
TCD;2018;4100.0
CHL;2018;
CHN;2018;
COL;2018;2700.0
COM;2018;100.0
COG;2018;6600.0
COK;2018;
CRI;2018;200.0
CIV;2018;15000.0
HRV;2018;100.0
CUB;2018;500.0
CYP;2018;100.0
CZE;2018;
PRK;2018;
COD;2018;23000.0
DNK;2018;100.0
DJI;2018;500.0
DMA;2018;
DOM;2018;2800.0
ECU;2018;570.0
EGY;2018;500.0
SLV;2018;660.0
GNQ;2018;2100.0
ERI;2018;500.0
EST;2018;
SWZ;2018;3000.0
ETH;2018;14000.0
FJI;2018;100.0
FIN;2018;
FRA;2018;670.0
GAB;2018;2000.0
GMB;2018;1200.0
GEO;2018;100.0
DEU;2018;500.0
GHA;2018;16000.0
GRC;2018;100.0
GRD;2018;
GTM;2018;1100.0
GIN;2018;4700.0
GNB;2018;1900.0
GUY;2018;200.0
HTI;2018;2300.0
HND;2018;770.0
HUN;2018;
ISL;2018;100.0
IND;2018;70000.0
IDN;2018;26000.0
IRN;2018;4000.0
IRQ;2018;
IRL;2018;100.0
ISR;2018;
ITA;2018;640.0
JAM;2018;770.0
JPN;2018;
JOR;2018;
KAZ;2018;200.0
KEN;2018;23000.0
KIR;2018;
KWT;2018;
KGZ;2018;500.0
LAO;2018;500.0
LVA;2018;100.0
LBN;2018;100.0
LSO;2018;5800.0
LBR;2018;1700.0
LBY;2018;100.0
LTU;2018;100.0
LUX;2018;100.0
MDG;2018;2100.0
MWI;2018;17000.0
MYS;2018;1500.0
MDV;2018;
MLI;2018;4900.0
MLT;2018;
MHL;2018;
MRT;2018;540.0
MUS;2018;
MEX;2018;5600.0
FSM;2018;
MCO;2018;
MNG;2018;100.0
MNE;2018;100.0
MAR;2018;570.0
MOZ;2018;
MMR;2018;8400.0
NAM;2018;3800.0
NRU;2018;
NPL;2018;760.0
NLD;2018;100.0
NZL;2018;100.0
NIC;2018;500.0
NER;2018;1100.0
NGA;2018;58000.0
NIU;2018;
MKD;2018;
NOR;2018;100.0
OMN;2018;100.0
PAK;2018;7300.0
PLW;2018;
PAN;2018;
PNG;2018;520.0
PRY;2018;500.0
PER;2018;1200.0
PHL;2018;730.0
POL;2018;
PRT;2018;500.0
QAT;2018;100.0
KOR;2018;
MDA;2018;510.0
ROU;2018;500.0
RUS;2018;
RWA;2018;3100.0
KNA;2018;
LCA;2018;
VCT;2018;
WSM;2018;
SMR;2018;
STP;2018;
SAU;2018;
SEN;2018;1600.0
SRB;2018;100.0
SYC;2018;
SLE;2018;3700.0
SGP;2018;100.0
SVK;2018;100.0
SVN;2018;
SLB;2018;
SOM;2018;510.0
ZAF;2018;66000.0
SSD;2018;8600.0
ESP;2018;810.0
LKA;2018;200.0
SDN;2018;2000.0
SUR;2018;200.0
SWE;2018;
CHE;2018;200.0
SYR;2018;100.0
TJK;2018;200.0
