 country_code, year, value 
 SLB, 2020,  
 SOM, 2020, 3697.0 
 ZAF, 2020, 5451944.0 
 SSD, 2020, 42447.0 
 ESP, 2020, 132569.0 
 LKA, 2020, 2167.0 
 SDN, 2020, 11755.0 
 SUR, 2020,  
 SWE, 2020,  
 CHE, 2020, 15609.0 
 SYR, 2020, 280.0 
 TJK, 2020, 7960.0 
 THA, 2020, 435956.0 
 GBR, 2020,  
 TLS, 2020, 626.0 
 TGO, 2020, 80151.0 
 TON, 2020,  
 TTO, 2020, 7268.0 
 TUN, 2020, 1446.0 
 TUR, 2020,  
 TKM, 2020, 0.0 
 TUV, 2020,  
 UGA, 2020, 1133306.0 
 UKR, 2020, 146488.0 
 ARE, 2020,  
 TZA, 2020, 1422782.0 
 USA, 2020,  
 URY, 2020, 8899.0 
 UZB, 2020, 31021.0 
 VUT, 2020,  
 VEN, 2020, 56038.0 
 VNM, 2020, 169000.0 
 YEM, 2020, 2927.0 
 ZMB, 2020, 1179031.0 
 ZWE, 2020, 1188470.0 
 AFG, 2019, 1044.0 
 ALB, 2019, 611.0 
 DZA, 2019, 14390.0 
 AND, 2019,  
 AGO, 2019, 93310.0 
 ATG, 2019,  
 ARG, 2019, 90222.0 
 ARM, 2019,  
 AUS, 2019, 23723.0 
 AUT, 2019,  
 AZE, 2019, 5086.0 
 BHS, 2019, 3029.0 
 BHR, 2019, 256.0 
 BGD, 2019, 3388.0 
 BRB, 2019, 1405.0 
 BLR, 2019, 17714.0 
 BEL, 2019,  
 BLZ, 2019, 1581.0 
 BEN, 2019, 48986.0 
 BTN, 2019, 466.0 
 BOL, 2019, 11639.0 
 BIH, 2019,  
 BWA, 2019, 313850.0 
 BRA, 2019, 620416.0 
 BRN, 2019, 186.0 
 BGR, 2019, 1658.0 
 BFA, 2019, 68729.0 
 BDI, 2019, 71743.0 
 CPV, 2019, 2368.0 
 KHM, 2019, 61371.0 
 CMR, 2019, 312441.0 
 CAN, 2019,  
 CAF, 2019, 47032.0 
 TCD, 2019, 69178.0 
 CHL, 2019, 50270.0 
 CHN, 2019, 863189.0 
 COL, 2019, 91615.0 
 COM, 2019, 77.0 
 COG, 2019, 26030.0 
 COK, 2019,  
 CRI, 2019, 9058.0 
 CIV, 2019, 269137.0 
 HRV, 2019, 1268.0 
 CUB, 2019, 24514.0 
 CYP, 2019, 969.0 
 CZE, 2019,  
 PRK, 2019,  
 COD, 2019, 321222.0 
 DNK, 2019, 5733.0 
 DJI, 2019, 1928.0 
 DMA, 2019,  
 DOM, 2019, 34839.0 
 ECU, 2019, 30812.0 
 EGY, 2019, 8364.0 
 SLV, 2019, 13321.0 
 GNQ, 2019, 22900.0 
 ERI, 2019, 8835.0 
 EST, 2019,  
 SWZ, 2019, 191782.0 
 ETH, 2019, 468848.0 
 FJI, 2019, 434.0 
 FIN, 2019,  
 FRA, 2019, 151646.0 
 GAB, 2019, 23750.0 
 GMB, 2019, 8229.0 
 GEO, 2019, 5098.0 
 DEU, 2019,  
 GHA, 2019, 153901.0 
 GRC, 2019, 10640.0 
 GRD, 2019,  
 GTM, 2019, 20926.0 
 GIN, 2019, 59189.0 
 GNB, 2019, 16734.0 
 GUY, 2019, 5966.0 
 HTI, 2019, 110001.0 
 HND, 2019, 11849.0 
 HUN, 2019,  
 ISL, 2019, 270.0 
 IND, 2019, 1486619.0 
 IDN, 2019, 127613.0 
 IRN, 2019, 15051.0 
 IRQ, 2019,  
 IRL, 2019, 6322.0 
 ISR, 2019,  
 ITA, 2019, 123558.0 
 JAM, 2019, 14155.0 
 JPN, 2019, 25621.0 
 JOR, 2019,  
 KAZ, 2019, 17535.0 
 KEN, 2019, 1107574.0 
 KIR, 2019,  
 KWT, 2019,  
 KGZ, 2019, 4058.0 
 LAO, 2019, 7300.0 
 LVA, 2019, 2931.0 
 LBN, 2019, 1717.0 
 LSO, 2019, 220828.0 
 LBR, 2019, 15423.0 
 LBY, 2019, 3399.0 
 LTU, 2019, 1223.0 
 LUX, 2019, 931.0 
 MDG, 2019, 5166.0 
 MWI, 2019, 832908.0 
 MYS, 2019, 40077.0 
 MDV, 2019, 11.0 
 MLI, 2019, 45867.0 
 MLT, 2019,  
 MHL, 2019,  
 MRT, 2019, 3273.0 
 MUS, 2019, 2837.0 
 MEX, 2019, 174176.0 
 FSM, 2019,  
 MCO, 2019,  
 MNG, 2019, 198.0 
 MNE, 2019, 181.0 
 MAR, 2019, 15049.0 
 MOZ, 2019, 1338100.0 
 MMR, 2019, 184624.0 
 NAM, 2019, 177175.0 
 NRU, 2019,  
 NPL, 2019, 18628.0 
 NLD, 2019, 20696.0 
 NZL, 2019, 2742.0 
 NIC, 2019, 5696.0 
 NER, 2019, 20427.0 
 NGA, 2019, 1148928.0 
 NIU, 2019,  
 MKD, 2019,  
 NOR, 2019, 4042.0 
 OMN, 2019, 1494.0 
 PAK, 2019, 22947.0 
 PLW, 2019,  
 PAN, 2019,  
 PNG, 2019, 32018.0 
 PRY, 2019, 9480.0 
 PER, 2019, 67667.0 
 PHL, 2019, 41574.0 
 POL, 2019,  
 PRT, 2019,  
 QAT, 2019, 117.0 
 KOR, 2019,  
 MDA, 2019, 6690.0 
 ROU, 2019, 12832.0 
 RUS, 2019, 499913.0 
 RWA, 2019, 198657.0 
 KNA, 2019,  
 LCA, 2019,  
 VCT, 2019,  
 WSM, 2019,  
 SMR, 2019,  
 STP, 2019,  
 SAU, 2019,  
 SEN, 2019, 28960.0 
 SRB, 2019, 2097.0 
 SYC, 2019,  
 SLE, 2019, 33274.0 
 SGP, 2019, 6052.0 
 SVK, 2019,  
 SVN, 2019, 650.0 
 SLB, 2019,  
 SOM, 2019, 3471.0 
 ZAF, 2019, 5301940.0 
 SSD, 2019, 35149.0 
 ESP, 2019, 128309.0 
 LKA, 2019, 1846.0 
 SDN, 2019, 10449.0 
 SUR, 2019,  
 SWE, 2019,  
 CHE, 2019, 15009.0 
 SYR, 2019, 252.0 
 TJK, 2019, 7055.0 
 THA, 2019, 417862.0 
 GBR, 2019, 97146.0 
 TLS, 2019, 524.0 
 TGO, 2019, 75153.0 
 TON, 2019,  
 TTO, 2019, 7834.0 
 TUN, 2019, 1287.0 
 TUR, 2019,  
 TKM, 2019, 0.0 
 TUV, 2019,  
 UGA, 2019, 1095714.0 
 UKR, 2019, 136105.0 
 ARE, 2019,  
 TZA, 2019, 1277012.0 
 USA, 2019,  
 URY, 2019, 8670.0 
 UZB, 2019, 26825.0 
 VUT, 2019,  
 VEN, 2019, 44912.0 
 VNM, 2019, 159461.0 
 YEM, 2019, 2672.0 
 ZMB, 2019, 1080135.0 
 ZWE, 2019, 1148310.0 
 AFG, 2018, 924.0 
 ALB, 2018, 581.0 
 DZA, 2018, 12759.0 
 AND, 2018,  
 AGO, 2018, 88734.0 
 ATG, 2018,  
 ARG, 2018, 85109.0 
 ARM, 2018,  
 AUS, 2018, 22785.0 
 AUT, 2018,  
 AZE, 2018, 4374.0 
 BHS, 2018, 3107.0 
 BHR, 2018, 146.0 
 BGD, 2018, 3045.0 
 BRB, 2018, 1323.0 
 BLR, 2018, 15524.0 
 BEL, 2018,  
 BLZ, 2018, 1524.0 
 BEN, 2018, 44232.0 
 BTN, 2018, 395.0 
 BOL, 2018, 9895.0 
 BIH, 2018,  
 BWA, 2018, 307377.0 
 BRA, 2018, 587489.0 
 BRN, 2018,  
 BGR, 2018, 1457.0 
 BFA, 2018, 60038.0 
 BDI, 2018, 65483.0 
 CPV, 2018, 2153.0 
 KHM, 2018, 59209.0 
 CMR, 2018, 281083.0 
 CAN, 2018,  
 CAF, 2018, 39641.0 
 TCD, 2018, 61411.0 
 CHL, 2018, 45103.0 
 CHN, 2018, 718499.0 
 COL, 2018, 78331.0 
 COM, 2018, 60.0 
 COG, 2018, 25251.0 
 COK, 2018,  
 CRI, 2018, 8065.0 
 CIV, 2018, 252125.0 
 HRV, 2018, 1188.0 
 CUB, 2018, 21946.0 
 CYP, 2018, 837.0 
 CZE, 2018,  
 PRK, 2018,  
 COD, 2018, 256486.0 
 DNK, 2018, 5657.0 
 DJI, 2018, 2680.0 
 DMA, 2018,  
 DOM, 2018, 32265.0 
 ECU, 2018, 25148.0 
 EGY, 2018, 6693.0 
 SLV, 2018, 11862.0 
 GNQ, 2018, 21368.0 
 ERI, 2018, 8907.0 
 EST, 2018,  
 SWZ, 2018, 177156.0 
 ETH, 2018, 450030.0 
 FJI, 2018, 352.0 
 FIN, 2018,  
 FRA, 2018, 147836.0 
 GAB, 2018, 23223.0 
 GMB, 2018, 7541.0 
 GEO, 2018, 4597.0 
 DEU, 2018,  
 GHA, 2018, 113171.0 
 GRC, 2018, 10028.0 
 GRD, 2018,  
 GTM, 2018, 19723.0 
 GIN, 2018, 48574.0 
 GNB, 2018, 14921.0 
 GUY, 2018, 5557.0 
 HTI, 2018, 91498.0 
 HND, 2018, 11667.0 
 HUN, 2018,  
 ISL, 2018, 253.0 
 IND, 2018, 1312102.0 
 IDN, 2018, 108479.0 
 IRN, 2018, 13412.0 
 IRQ, 2018,  
 IRL, 2018, 5724.0 
 ISR, 2018,  
 ITA, 2018, 116176.0 
 JAM, 2018, 12669.0 
 JPN, 2018, 24948.0 
 JOR, 2018,  
 KAZ, 2018, 14950.0 
 KEN, 2018, 1092113.0 
 KIR, 2018,  
 KWT, 2018,  
 KGZ, 2018, 3710.0 
 LAO, 2018, 6484.0 
 LVA, 2018, 2521.0 
 LBN, 2018, 1504.0 
 LSO, 2018, 206226.0 
 LBR, 2018, 13880.0 
 LBY, 2018, 4067.0 
 LTU, 2018, 1084.0 
 LUX, 2018, 876.0 
 MDG, 2018, 3510.0 
 MWI, 2018, 814275.0 
 MYS, 2018, 37569.0 
 MDV, 2018, 11.0 
 MLI, 2018, 47055.0 
 MLT, 2018,  
 MHL, 2018,  
 MRT, 2018, 3032.0 
 MUS, 2018, 2756.0 
 MEX, 2018, 164518.0 
 FSM, 2018,  
 MCO, 2018,  
 MNG, 2018, 195.0 
 MNE, 2018, 161.0 
 MAR, 2018, 13641.0 
 MOZ, 2018, 1212562.0 
 MMR, 2018, 166969.0 
 NAM, 2018, 160473.0 
 NRU, 2018,  
 NPL, 2018, 16914.0 
 NLD, 2018, 20129.0 
 NZL, 2018, 2661.0 
 NIC, 2018, 5113.0 
 NER, 2018, 19793.0 
 NGA, 2018, 1002587.0 
 NIU, 2018,  
 MKD, 2018,  
 NOR, 2018, 3910.0 
 OMN, 2018, 1317.0 
 PAK, 2018, 15821.0 
 PLW, 2018,  
 PAN, 2018,  
 PNG, 2018, 29420.0 
 PRY, 2018, 8549.0 
 PER, 2018, 57801.0 
 PHL, 2018, 33241.0 
 POL, 2018,  
 PRT, 2018,  
 QAT, 2018, 107.0 
 KOR, 2018,  
 MDA, 2018, 5961.0 
 ROU, 2018, 12088.0 
 RUS, 2018, 438399.0 
 RWA, 2018, 192458.0 
 KNA, 2018,  
 LCA, 2018,  
 VCT, 2018,  
 WSM, 2018,  
 SMR, 2018,  
 STP, 2018,  
 SAU, 2018,  
 SEN, 2018, 26606.0 
 SRB, 2018, 1980.0 
 SYC, 2018,  
 SLE, 2018, 28415.0 
 SGP, 2018, 5678.0 
 SVK, 2018, 650.0 
 SVN, 2018, 632.0 
 SLB, 2018,  
 SOM, 2018, 3230.0 
 ZAF, 2018, 5000813.0 
 SSD, 2018, 30727.0 
 ESP, 2018, 125798.0 
 LKA, 2018, 1574.0 
 SDN, 2018, 8803.0 
 SUR, 2018, 2868.0 
 SWE, 2018,  
 CHE, 2018, 14809.0 
 SYR, 2018, 193.0 
 TJK, 2018, 5995.0 
 THA, 2018, 401233.0 
 GBR, 2018, 93647.0 
 TLS, 2018, 387.0 
 TGO, 2018, 65213.0 
 TON, 2018,  
 TTO, 2018, 7312.0 
 TUN, 2018, 1084.0 
 TUR, 2018,  
 TKM, 2018, 0.0 
 TUV, 2018,  
 UGA, 2018, 1035987.0 
 UKR, 2018, 122531.0 
 ARE, 2018,  
